id,title,description,availibility,condition,price,link,image_link,BRAND,category,sub-category,length,colour,pattern,fit
124,"Women Polka Print Cotton Blend Straight Kurta (White, Yellow)","Add a playful twist to your ethnic wardrobe with the Women Polka Print Cotton Blend Straight Kurta in White and Yellow. The combination of white and yellow, along with the polka dot print, create a vibrant and trendy kurta for various occasions.",in stock,new,53 USD,https://netcoredemo.myshopify.com/collections/tops/products/1124,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/l-110050077yellow-rangmanch-by-pantaloons-original-imafc5cjnqpxj4kt.jpg?v=1586241161,Netcore,Shirts,Tops,,yellow,polka,
125,Stress Free Top In Sage Floral,Embrace comfort and style with the Stress Free Top in Sage Floral. The soft sage color and delicate floral pattern create a relaxed and feminine top that's perfect for casual outings or lounging at home.,in stock,new,19 USD,https://netcoredemo.myshopify.com/collections/tops/products/1125,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnstress_free_top_in_green_floral.jpg?v=1586241164,Netcore,Shirts,Tops,,blue,floral,
126,Guidance Top In Navy Floral,Channel elegance with the Guidance Top in Navy Floral. The deep navy color and intricate floral print create a sophisticated and stylish top that can be dressed up or down for both formal and casual occasions.,in stock,new,14 USD,https://netcoredemo.myshopify.com/collections/tops/products/1126,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/guidance_top_in_navy_floral_tn.jpg?v=1586241167,Netcore,Shirts,Tops,,blue,floral,
127,Minor Mistake Top In Green Floral,Embrace a fresh and vibrant look with the Minor Mistake Top in Green Floral. The lively green color and playful floral pattern create a chic and trendy top that's perfect for adding a pop of color to your outfit.,in stock,new,21 USD,https://netcoredemo.myshopify.com/collections/tops/products/1127,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_minor_mistake_top_in_green_flora.jpg?v=1586241170,Netcore,Shirts,Tops,,green,floral,
128,Iconic Girl Top In Black Floral,Make a statement with the Iconic Girl Top in Black Floral. The bold black color and eye-catching floral print create a stylish and confident top that's perfect for both casual and dressier occasions.,in stock,new,28 USD,https://netcoredemo.myshopify.com/collections/tops/products/1128,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tniconic_girl_top_in_black_floral.jpg?v=1586241173,Netcore,Shirts,Tops,,black,floral,
129,Iconic Girl Top In Cream Floral,Embrace femininity with the Iconic Girl Top in Cream Floral. The creamy white color and delicate floral print create a graceful and versatile top that can be dressed up or down for various occasions.,in stock,new,23 USD,https://netcoredemo.myshopify.com/collections/tops/products/1129,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tniconic_girl_top_in_cream_flora.jpg?v=1586241187,Netcore,Shirts,Tops,,white,floral,
130,My Priority Top In Mustard Floral,Add a touch of vibrancy with the My Priority Top in Mustard Floral. The warm mustard color and lively floral pattern create a chic and trendy top that's perfect for both casual and semi-formal outings.,in stock,new,26 USD,https://netcoredemo.myshopify.com/collections/tops/products/1130,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2019.10.31_28.jpg?v=1586241190,Netcore,Shirts,Tops,,yellow,floral,
131,Stem Top In White Floral,Embrace simplicity and elegance with the Stem Top in White Floral. The clean white color and subtle floral print create a versatile and timeless top that can be styled in numerous ways for different occasions.,in stock,new,15 USD,https://netcoredemo.myshopify.com/collections/tops/products/1131,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_-_crop_above_knee_smooth_wrinkles_near_crotch_stem_top_in_white_flo.jpg?v=1586241193,Netcore,Shirts,Tops,,white,floral,
132,Wanna Be Found Top In Black Floral,Stand out with the Wanna Be Found Top in Black Floral. The striking black color and eye-catching floral print create a bold and stylish top that's perfect for making a statement at any occasion.,in stock,new,19 USD,https://netcoredemo.myshopify.com/collections/tops/products/1132,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/wanna_be_found_top_in_black_floral_3.jpg?v=1586241196,Netcore,Shirts,Tops,,black,floral,
133,Women Mustard Yellow Solid Top,Add a pop of color to your outfit with the Women Mustard Yellow Solid Top. The vibrant mustard yellow hue and clean design create a fresh and versatile top that's perfect for both casual and semi-formal looks.,in stock,new,17 USD,https://netcoredemo.myshopify.com/collections/tops/products/1133,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/80035566-29a1-424c-ba7e-0ee1976b9e001568086051288-DOROTHY-PERKINS-Women-Tops-6091568086050172-1.jpg?v=1586241197,Netcore,Shirts,Tops,,yellow,solid,
134,Women Black Solid Regular Top,Embrace simplicity with the Women Black Solid Regular Top. The classic black color and regular fit create a timeless and versatile top that can be paired with various bottoms for different occasions and styles.,in stock,new,83 USD,https://netcoredemo.myshopify.com/collections/tops/products/1134,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/315d9c31-15cb-44d3-a9b5-d0ad8c56c4461578571030056-DressBerry-Women-Black-Solid-Top-5721578571028502-1.jpg?v=1586241199,Netcore,Shirts,Tops,,black,solid,
135,Women White Solid Top,Step into elegance with the Women White Solid Top. The pristine white color and clean design create a sophisticated and versatile top that's perfect for both casual and formal ensembles.,in stock,new,43 USD,https://netcoredemo.myshopify.com/collections/tops/products/1135,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11490082997881-Roadster-Women-White-Solid-Regular-Top-9621490082997662-1.jpg?v=1586241200,Netcore,Shirts,Tops,,white,solid,
136,Women Green Ruffled Shirt Style Top,Embrace a playful and feminine look with the Women Green Ruffled Shirt Style Top. The refreshing green color and charming ruffled details create a stylish and trendy top that's perfect for adding flair to your outfits.,in stock,new,46 USD,https://netcoredemo.myshopify.com/collections/tops/products/1136,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/fb86e884-dbdc-4951-bb45-38cc400c437f1554985706259-SASSAFRAS-Women-Olive-Green-Regular-Fit-Solid-Casual-Shirt-3-1.jpg?v=1586241202,Netcore,Shirts,Tops,,green,solid,
137,Women Olive Green Shirt Style Top,Channel a chic and contemporary look with the Women Olive Green Shirt Style Top. The rich olive green color and shirt-style design create a versatile and fashionable top that can be dressed up or down for various occasions.,in stock,new,59 USD,https://netcoredemo.myshopify.com/collections/tops/products/1137,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11492683630293-Roadster-Women-Olive-Solid-Shirt-Style-Top-7301492683630043-1.jpg?v=1586241203,Netcore,Shirts,Tops,,green,solid,
138,Women Teal Blue Self-Design Top,Make a fashion statement with the Women Teal Blue Self-Design Top. The captivating teal blue color and intricate self-design create a unique and stylish top that's perfect for expressing your individuality and flair.,in stock,new,10 USD,https://netcoredemo.myshopify.com/collections/tops/products/1138,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2de27516-bc8a-4c19-8929-a523639f27a81580885316722-Roadster-Women-Teal-Solid-Top-2061580885315326-1.jpg?v=1586241205,Netcore,Shirts,Tops,,blue,solid,
139,Women Burgundy Solid Top,Add a touch of sophistication with the Women Burgundy Solid Top. The deep burgundy color and clean design create a classic and elegant top that can be dressed up or down for various occasions and styles.,in stock,new,34 USD,https://netcoredemo.myshopify.com/collections/tops/products/1139,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/d9d235f1-950a-47ed-95c5-5da2922c09561559393674575-Roadster-Women-Maroon-Solid-Top-6411559393673700-1.jpg?v=1586241206,Netcore,Shirts,Tops,,red,solid,
140,Women Maroon Solid Bardot Top,Embrace a feminine and trendy look with the Women Maroon Solid Bardot Top. The rich maroon color and off-shoulder bardot style create a stylish and versatile top that's perfect for both casual and dressier outfits.,in stock,new,51 USD,https://netcoredemo.myshopify.com/collections/tops/products/1140,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/edf50484-83fc-414d-8563-f4462687981b1549003303097-Harpa-Women-Maroon-Solid-Bardot-Top-1111549003302968-1.jpg?v=1586241208,Netcore,Shirts,Tops,,red,solid,
141,Women White Solid Fitted Top,Embrace simplicity and versatility with the Women White Solid Fitted Top. The clean white color and fitted silhouette create a timeless and chic look.,in stock,new,58 USD,https://netcoredemo.myshopify.com/collections/tops/products/1141,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/cbca6b3e-f7ff-4c18-9796-00f8852343981538644149060-Veni-Vidi-Vici-Women-Tops-4231538644148774-1.jpg?v=1586241209,Netcore,Shirts,Tops,,white,solid,
142,Women Mustard Yellow Printed Wrap Top,Add a pop of color to your outfit with the Women Mustard Yellow Printed Wrap Top. The vibrant yellow hue and stylish wrap design create a trendy look.,in stock,new,47 USD,https://netcoredemo.myshopify.com/collections/tops/products/1142,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/09e033fa-9925-4f5f-b5aa-6aac32307fed1552553406848-Harpa-Women-Tops-4791552553405672-1.jpg?v=1586241210,Netcore,Shirts,Tops,,yellow,polka,
143,Women Black Polka Dot Print Top,Channel retro vibes with the Women Black Polka Dot Print Top. The classic polka dot pattern and black color create a playful and fashionable top.,in stock,new,54 USD,https://netcoredemo.myshopify.com/collections/tops/products/1143,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11522662991296-Style-Quotient-Women-Tops-4231522662991112-1.jpg?v=1586241212,Netcore,Shirts,Tops,,black,polka,
144,Women Navy Blue Printed Shirt Style Top,Embrace a chic and casual look with the Women Navy Blue Printed Shirt Style Top. The stylish shirt-style design and navy blue print create a trendy vibe.,in stock,new,37 USD,https://netcoredemo.myshopify.com/collections/tops/products/1144,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/cbfd6c80-5f90-4609-9914-758eb38352ab1551955429336-Tokyo-Talkies-Women-Navy-Blue-Printed-Shirt-Style-Top-547155-1.jpg?v=1586241213,Netcore,Shirts,Tops,,blue,polka,
145,Women Burgundy & Black Polka Dot Print Top,Make a statement with the Women Burgundy & Black Polka Dot Print Top. The contrasting colors and bold polka dot pattern create a stylish and eye-catching look.,in stock,new,13 USD,https://netcoredemo.myshopify.com/collections/tops/products/1145,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/6bfc7196-f9c6-426f-9955-997d451ae2061571383317980-MANGO-Women-Wine-Coloured--Black-Printed-A-Line-Top-60215713-1.jpg?v=1586241215,Netcore,Shirts,Tops,,red,polka,
146,Women Navy & White Polka Dot Print Bardot Top,Embrace a feminine and trendy look with the Women Navy & White Polka Dot Print Bardot Top. The off-shoulder bardot style and polka dot print create a stylish top.,in stock,new,54 USD,https://netcoredemo.myshopify.com/collections/tops/products/1146,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/68f17da3-14a0-4ac2-954e-d31575b72a471571745277286-Style-Quotient-Women-Tops-7391571745275599-1.jpg?v=1586241216,Netcore,Shirts,Tops,,blue,polka,
147,Women Green Printed Styled Back Top,Add a touch of flair to your outfit with the Women Green Printed Styled Back Top. The unique styled back design and vibrant green print create a fashionable look.,in stock,new,89 USD,https://netcoredemo.myshopify.com/collections/tops/products/1147,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/12de80da-a527-4594-945f-b901ececad701580255852711-1.jpg?v=1586241217,Netcore,Shirts,Tops,,green,polka,
148,Off-White Polka Dot Print Top,Embrace a classic and versatile look with the Off-White Polka Dot Print Top. The timeless polka dot pattern and off-white color create a chic and stylish top.,in stock,new,45 USD,https://netcoredemo.myshopify.com/collections/tops/products/1148,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11460624759013-Harpa-Off-White-Polka-Dot-Print-Top-3391460624758438-1.jpg?v=1586241219,Netcore,Shirts,Tops,,white,polka,
149,Women Mustard Yellow & White Printed Styled Back Top,Make a fashion statement with the Women Mustard Yellow & White Printed Styled Back Top. The stylish back design and vibrant print create a trendy and eye-catching look.,in stock,new,58 USD,https://netcoredemo.myshopify.com/collections/tops/products/1149,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/55b87ee6-8226-4080-8ded-ece17297882f1573045138464-Carlton-London-Women-Tops-421573045136974-1.jpg?v=1586241220,Netcore,Shirts,Tops,,yellow,polka,
150,Women Navy Blue Regular Fit Floral Print Casual Shirt,Embrace a casual and feminine look with the Women Navy Blue Regular Fit Floral Print Casual Shirt. The floral print and relaxed fit create a stylish and comfortable shirt.,in stock,new,17 USD,https://netcoredemo.myshopify.com/collections/tops/products/1150,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11523698756736-DOROTHY-PERKINS-Women-Tops-7351523698756588-1.jpg?v=1586241221,Netcore,Shirts,Tops,,blue,floral,
151,Women Maroon & White Regular Fit Printed Casual Shirt,"Channel elegance with the Women Maroon & White Regular Fit Printed Casual Shirt. The combination of maroon and white, along with the printed pattern, creates a sophisticated and versatile shirt.",in stock,new,10 USD,https://netcoredemo.myshopify.com/collections/tops/products/1151,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/1aa63a58-fa88-4944-ade1-600c4877026e1560337094845-her-by-invictus-Women-Maroon--White-Regular-Fit-Printed-Casu-1.jpg?v=1586241223,Netcore,Shirts,Tops,,red,floral,
152,Women White Regular Fit Printed Casual Shirt,Add a touch of charm to your outfit with the Women White Regular Fit Printed Casual Shirt. The printed pattern and clean white color create a stylish and versatile shirt.,in stock,new,76 USD,https://netcoredemo.myshopify.com/collections/tops/products/1152,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/bf9e569f-5873-4759-b073-b5eedd505f3e1551075349739-HERENOW-Women-Shirts-5471551075347923-1.jpg?v=1586241224,Netcore,Shirts,Tops,,white,floral,
153,Women Yellow & White Regular Fit Printed Casual Shirt,"Embrace a vibrant and trendy look with the Women Yellow & White Regular Fit Printed Casual Shirt. The combination of yellow and white, along with the printed pattern, creates a fashionable shirt.",in stock,new,11 USD,https://netcoredemo.myshopify.com/collections/tops/products/1153,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ae7d5a1d-ae22-47d3-bc06-a51af62254d21579676517309-Mast--Harbour-Women-Yellow--White-Regular-Fit-Printed-Casual-1.jpg?v=1586241226,Netcore,Shirts,Tops,,yellow,floral,
154,Women Red & Navy Blue Regular Fit Printed Casual Shirt,Make a statement with the Women Red & Navy Blue Regular Fit Printed Casual Shirt. The contrasting colors and printed pattern create a bold and stylish shirt.,in stock,new,47 USD,https://netcoredemo.myshopify.com/collections/tops/products/1154,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/fdf3dec2-8544-4d57-b9c4-8b4c8597699f1573734546436-DressBerry-Women-Red--Navy-Blue-Regular-Fit-Printed-Casual-S-1.jpg?v=1586241228,Netcore,Shirts,Tops,,red,floral,
155,Women Green & White Regular Fit Printed Casual Shirt,"Embrace a fresh and trendy look with the Women Green & White Regular Fit Printed Casual Shirt. The combination of green and white, along with the printed pattern, creates a fashionable shirt.",in stock,new,82 USD,https://netcoredemo.myshopify.com/collections/tops/products/1155,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/1e6a4d32-f886-4d8b-be2e-f6c30c8c99eb1555590092243-Kazo-Women-Green--White-Regular-Fit-Printed-Casual-Shirt-316-1.jpg?v=1586241229,Netcore,Shirts,Tops,,green,floral,
156,Women Black & White Regular Fit Printed Casual Shirt,Channel a timeless and versatile look with the Women Black & White Regular Fit Printed Casual Shirt. The contrasting colors and printed pattern create a chic and stylish shirt.,in stock,new,71 USD,https://netcoredemo.myshopify.com/collections/tops/products/1156,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/95c55211-bb67-4b34-81d2-189ac5ed1ab81572859768761-her-by-invictus-Women-Shirts-1311572859767305-1.jpg?v=1586241231,Netcore,Shirts,Tops,,black,floral,
157,Women White & Red Printed Regular Fit Casual Shirt,"Add a pop of color to your outfit with the Women White & Red Printed Regular Fit Casual Shirt. The combination of white and red, along with the printed pattern, creates a vibrant and stylish shirt.",in stock,new,9 USD,https://netcoredemo.myshopify.com/collections/tops/products/1157,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/bd580457-e3ac-423a-8699-65eb8d4884781572948663200-1.jpg?v=1586241232,Netcore,Shirts,Tops,,white,floral,
158,Women Mustard Regular Fit Solid Casual Shirt,Embrace simplicity and versatility with the Women Mustard Regular Fit Solid Casual Shirt. The clean design and mustard color create a classic and fashionable shirt.,in stock,new,51 USD,https://netcoredemo.myshopify.com/collections/tops/products/1158,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/ea4f2204-9356-4b1e-877d-faa1da88e41c1530790576974-Roadster-Women-Mustard-Regular-Fit-Solid-Casual-Shirt-574153-1.jpg?v=1586241234,Netcore,Shirts,Tops,,yellow,solid,
159,Women Black Regular Fit Solid Casual Shirt,Step into elegance with the Women Black Regular Fit Solid Casual Shirt. The classic black color and regular fit create a timeless and versatile shirt.,in stock,new,54 USD,https://netcoredemo.myshopify.com/collections/tops/products/1159,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/43f75c67-2148-4b30-97ec-444572fc54161560497093610-Roadster-Women-Black-Regular-Fit-Solid-Casual-Shirt-75915604-1.jpg?v=1586241235,Netcore,Shirts,Tops,,black,solid,
160,Women Blue Solid Denim Casual Shirt,Add a touch of casual style with the Women Blue Solid Denim Casual Shirt. The denim fabric and solid blue color create a cool and laid-back shirt.,in stock,new,74 USD,https://netcoredemo.myshopify.com/collections/tops/products/1160,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11491567866319-Roadster-Women-Blue-Regular-Fit-Solid-Casual-Shirt-5071491567866086-1.jpg?v=1586241237,Netcore,Shirts,Tops,,blue,solid,
161,Women Olive Green & Black Regular Fit Solid Casual Shirt,"Embrace a contemporary and versatile look with the Women Olive Green & Black Regular Fit Solid Casual Shirt. The combination of olive green and black colors, along with the regular fit, creates a fashionable shirt.",in stock,new,10 USD,https://netcoredemo.myshopify.com/collections/tops/products/1161,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11518692555559-Roadster-Women-Olive-Green--Black-Regular-Fit-Solid-Casual-Shirt-5111518692555347-1.jpg?v=1586241238,Netcore,Shirts,Tops,,green,solid,
162,Red Georgette Comfort Fit Shirt,Step into sophistication with the Red Georgette Comfort Fit Shirt. The rich red color and comfortable fit create a stylish and elegant shirt.,in stock,new,71 USD,https://netcoredemo.myshopify.com/collections/tops/products/1162,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11465983976157-Marie-Claire-Women-Shirts-2411465983975710-1.jpg?v=1586241240,Netcore,Shirts,Tops,,red,solid,
163,Women Green Shirt,Embrace a fresh and versatile look with the Women Green Shirt. The vibrant green color and clean design create a fashionable and timeless shirt.,in stock,new,71 USD,https://netcoredemo.myshopify.com/collections/tops/products/1163,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2c73cda4-784c-4f99-aaf4-abdd6e39380c1560832736540-1.jpg?v=1586241241,Netcore,Shirts,Tops,,blue,solid,
164,Women Olive Green Regular Fit Solid Off-shoulder Casual Shirt,Channel a trendy and feminine look with the Women Olive Green Regular Fit Solid Off-shoulder Casual Shirt. The off-shoulder design and olive green color create a stylish and fashionable shirt.,in stock,new,59 USD,https://netcoredemo.myshopify.com/collections/tops/products/1164,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11523254311895-DressBerry-Women-Olive-Green-Regular-Fit-Solid-Casual-Shirt-9051523254311721-1.jpg?v=1586241242,Netcore,Shirts,Tops,,green,solid,
165,Women Red Regular Fit Solid Formal Shirt,Make a statement with the Women Red Regular Fit Solid Formal Shirt. The bold red color and formal fit create a confident and sophisticated shirt.,in stock,new,68 USD,https://netcoredemo.myshopify.com/collections/tops/products/1165,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/0b84b955-c023-49f8-adce-45564a21203e1558032828737-1.jpg?v=1586241244,Netcore,Shirts,Tops,,red,solid,
166,Women White Regular Fit Solid Casual Shirt,Embrace simplicity and versatility with the Women White Regular Fit Solid Casual Shirt. The clean design and white color create a timeless and chic shirt.,in stock,new,11 USD,https://netcoredemo.myshopify.com/collections/tops/products/1166,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/0f8f525d-ecea-40cd-87df-46a4cd39f9b51526884913866-ONLY-Women-White-Regular-Fit-Solid-Casual-Shirt-7621526884912825-1.jpg?v=1586241245,Netcore,Shirts,Tops,,white,solid,
167,Women Navy Blue Regular Fit Printed Casual Shirt,Add a touch of charm to your outfit with the Women Navy Blue Regular Fit Printed Casual Shirt. The printed pattern and navy blue color create a stylish and versatile shirt.,in stock,new,77 USD,https://netcoredemo.myshopify.com/collections/tops/products/1167,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/11525254062164-DressBerry-Women-Shirts-4741525254061982-1.jpg?v=1586241247,Netcore,Shirts,Tops,,blue,polka,
168,Women Red & White Regular Fit Printed Casual Shirt,"Embrace a vibrant and trendy look with the Women Red & White Regular Fit Printed Casual Shirt. The combination of red and white, along with the printed pattern, creates a fashionable shirt.",in stock,new,83 USD,https://netcoredemo.myshopify.com/collections/tops/products/1168,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/d76446c6-757a-42de-84a6-6f1d8554a2491566907175965-ONLY-Women-Shirts-7761566907173169-1.jpg?v=1586241248,Netcore,Shirts,Tops,,red,polka,
169,Women Mustard Yellow & Off-White Slim Fit Printed Formal Shirt,"Make a fashion statement with the Women Mustard Yellow & Off-White Slim Fit Printed Formal Shirt. The combination of mustard yellow and off-white, along with the slim fit and printed pattern, creates a stylish and elegant shirt.",in stock,new,75 USD,https://netcoredemo.myshopify.com/collections/tops/products/1169,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/059bfa65-1284-4965-937e-2b7249eb9f081576025743822-1.jpg?v=1586241249,Netcore,Shirts,Tops,,yellow,polka,
170,Women Black Regular Fit Printed Casual Shirt,Channel a chic and trendy look with the Women Black Regular Fit Printed Casual Shirt. The printed pattern and black color create a stylish and versatile shirt.,in stock,new,89 USD,https://netcoredemo.myshopify.com/collections/tops/products/1170,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/29252d0d-efaa-4a51-b922-6f258a8e54b81533028107218-Vero-Moda-Women-Black-Regular-Fit-Printed-Casual-Shirt-65153-1.jpg?v=1586241251,Netcore,Shirts,Tops,,black,polka,
171,Women Green Regular Fit Printed Casual Shirt Vero Moda,Embrace a fresh and fashionable look with the Women Green Regular Fit Printed Casual Shirt from Vero Moda. The printed pattern and green color create a trendy and versatile shirt.,in stock,new,10 USD,https://netcoredemo.myshopify.com/collections/tops/products/1171,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/898a9926-6f32-4fa7-9eca-4d54ac0ede7d1550230286476-Vero-Moda-Women-Green-Regular-Fit-Printed-Casual-Shirt-64615-1.jpg?v=1586241252,Netcore,Shirts,Tops,,green,polka,
172,Women White & Black Slim Fit Printed Casual Shirt,Add a touch of sophistication with the Women White & Black Slim Fit Printed Casual Shirt. The contrasting colors and slim fit create a stylish and chic shirt.,in stock,new,44 USD,https://netcoredemo.myshopify.com/collections/tops/products/1172,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/72b57d70-aae3-42bd-895c-9ba1eb261f5f1571906188560-1.jpg?v=1586241254,Netcore,Shirts,Tops,,white,polka,
173,Women Blue & White Regular Fit Printed Casual Shirt,"Embrace a classic and versatile look with the Women Blue & White Regular Fit Printed Casual Shirt. The combination of blue and white, along with the printed pattern, creates a chic and stylish shirt.",in stock,new,49 USD,https://netcoredemo.myshopify.com/collections/tops/products/1173,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/d83f3dfa-9f66-4be9-80dc-dffa2a09df541571632387336-1.jpg?v=1586241256,Netcore,Shirts,Tops,,blue,polka,
174,Women Green Regular Fit Printed Casual Shirt,Make a statement with the Women Green Regular Fit Printed Casual Shirt. The vibrant green color and printed pattern create a fashionable and eye-catching shirt.,in stock,new,44 USD,https://netcoredemo.myshopify.com/collections/tops/products/1174,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/03c98116-df12-4ced-98f8-f01f37ba3e1f1560853186709-Tokyo-Talkies-Women-Green--White-Regular-Fit-Printed-Casual--1.jpg?v=1586241258,Netcore,Shirts,Tops,,green,polka,
175,Letters Of Love Top In Blue Floral,Express your romantic side with the Letters Of Love Top In Blue Floral. The delicate blue floral pattern and charming design create a feminine and elegant top.,in stock,new,35 USD,https://netcoredemo.myshopify.com/collections/tops/products/1175,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_-_letters_of_love_top_in_blue_floral.jpg?v=1586241259,Netcore,Shirts,Tops,,blue,floral,
176,Fall For You And Me Top In Black Floral,Embrace a playful and stylish look with the Fall For You And Me Top In Black Floral. The black color and floral pattern create a chic and trendy top.,in stock,new,40 USD,https://netcoredemo.myshopify.com/collections/tops/products/1176,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_fall_for_you_and_me_top_in_black_floral.jpg?v=1586241262,Netcore,Shirts,Tops,,black,floral,
177,In Your Dreams Top In White Floral,Step into a dreamy and feminine look with the In Your Dreams Top In White Floral. The white color and floral pattern create a romantic and elegant top.,in stock,new,35 USD,https://netcoredemo.myshopify.com/collections/tops/products/1177,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2019.9.11_185.jpg?v=1586241265,Netcore,Shirts,Tops,,white,floral,
178,Wait For Me Top In Berry Floral,Add a touch of allure with the Wait For Me Top In Berry Floral. The vibrant berry color and floral pattern create a captivating and stylish top.,in stock,new,35 USD,https://netcoredemo.myshopify.com/collections/tops/products/1178,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/wait_for_me_top_in_berry_floral.jpg?v=1586241266,Netcore,Shirts,Tops,,red,floral,
179,Sound Of Summer Top In Yellow Floral,Embrace the essence of summer with the Sound Of Summer Top In Yellow Floral. The sunny yellow color and floral pattern create a vibrant and cheerful top.,in stock,new,31 USD,https://netcoredemo.myshopify.com/collections/tops/products/1179,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_sound_of_summer_top_in_yellow_floral.jpg?v=1586241267,Netcore,Shirts,Tops,,yellow,floral,
180,Moment of Truth Top In Green Floral,Make a statement with the Moment of Truth Top In Green Floral. The bold green color and floral pattern create a stylish and eye-catching top.,in stock,new,31 USD,https://netcoredemo.myshopify.com/collections/tops/products/1180,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tn_moment_of_truth_top_in_green_floral.jpg?v=1586241268,Netcore,Shirts,Tops,,green,floral,
181,Looking Cute Crop Top In Red Floral,Channel a cute and trendy look with the Looking Cute Crop Top In Red Floral. The red color and floral pattern create a playful and fashionable crop top.,in stock,new,13 USD,https://netcoredemo.myshopify.com/collections/tops/products/1181,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/1969tn_-_crop_above_knee.jpg?v=1586241270,Netcore,Shirts,Tops,,red,floral,
182,Run Away Now Top In Yellow Floral,Embrace a carefree and stylish look with the Run Away Now Top In Yellow Floral. The yellow color and floral pattern create a vibrant and trendy top.,in stock,new,15 USD,https://netcoredemo.myshopify.com/collections/tops/products/1182,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/tnrun_away_now_top_in_yellow_floral.jpg?v=1586241273,Netcore,Shirts,Tops,,yellow,floral,
183,Women Black Solid Top,Step into versatility and elegance with the Women Black Solid Top. The clean black color and simple design create a timeless and chic top.,in stock,new,47 USD,https://netcoredemo.myshopify.com/collections/tops/products/1183,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/0e1ef769-03ce-4733-a1e2-53434a8326841544520569693-1.jpg?v=1586241275,Netcore,Shirts,Tops,,black,solid,
184,Women Maroon Solid One-Shoulder Velvet Finish Crop Top,Make a statement with the Women Maroon Solid One-Shoulder Velvet Finish Crop Top. The luxurious velvet finish and stylish one-shoulder design create a trendy and fashionable top.,in stock,new,64 USD,https://netcoredemo.myshopify.com/collections/tops/products/1184,https://cdn.shopify.com/s/files/1/0370/4861/5048/products/2ceab2f3-bce4-49b2-b6e9-301f05b5e4531563514058350-Trend-Arrest-Women-Maroon-Solid-Fitted-Top-2071563514057226-1.jpg?v=1586241288,Netcore,Shirts,Tops,,red,solid,
